122	253	160	275
122	428	176	446
122	461	172	475
122	519	172	545
122	563	186	580
122	663	221	682
123	495	208	511
123	629	172	644
124	695	296	712
124	719	201	749
125	758	308	786
125	787	321	817
127	831	179	846
136	294	206	308
136	416	159	426
152	383	198	409
152	824	176	829
154	584	294	611
161	287	186	293
175	248	353	277
177	460	210	475
177	530	216	547
177	628	251	646
185	820	273	849
190	422	368	458
199	556	408	579
202	381	300	408
207	282	377	309
213	484	358	517
214	729	359	752
217	447	375	476
218	785	241	793
223	518	293	543
225	110	501	139
233	662	288	679
238	721	263	728
248	655	273	660
255	627	308	645
265	339	425	362
265	545	290	551
270	620	294	625
286	820	332	844
297	521	373	549
298	583	461	607
299	650	418	677
303	689	465	716
307	181	443	200
312	614	535	642
312	752	471	778
318	380	355	405
333	721	358	727
336	792	388	809
337	826	392	843
356	247	426	274
364	718	453	747
366	478	468	508
372	381	513	406
378	517	430	540
386	280	628	305
386	423	528	472
386	446	437	469
400	825	649	871
406	793	487	809
415	333	507	359
430	411	452	416
437	514	650	547
439	243	578	269
441	658	592	678
461	727	511	741
471	682	592	713
477	581	649	610
478	489	523	507
484	749	533	773
504	411	648	441
509	781	651	810
517	725	651	742
521	377	645	404
528	488	571	503
531	452	649	472
539	751	591	775
544	622	582	638
550	244	576	251
576	476	649	508
586	622	650	641
591	750	652	773
597	683	651	707
600	658	651	672
629	647	651	656
657	442	678	448
